,id,location name,type,area,price,over-valued,under-valued,normal
3818,2546638,Alenquer,houses,80.0,67000,0.0,1.0,0.0
3819,2546641,Alenquer,houses,193.0,130000,0.0,1.0,0.0
3820,2546652,Alenquer,houses,131.0,90000,0.0,1.0,0.0
3821,2546655,Alenquer,houses,315.0,60000,0.0,1.0,0.0
3822,2546660,Alenquer,houses,160.0,59000,0.0,1.0,0.0
3823,2546661,Alenquer,houses,268.0,90000,0.0,1.0,0.0
3824,2546673,Alenquer,houses,66.0,46500,0.0,1.0,0.0
3825,2546703,Alenquer,houses,134.0,123500,0.0,0.0,1.0
3826,2546706,Alenquer,houses,64.0,31000,0.0,1.0,0.0
3827,2546763,Alenquer,houses,191.0,89900,0.0,1.0,0.0
3828,2546775,Alenquer,houses,310.0,60000,0.0,1.0,0.0
3829,2546810,Alenquer,houses,55.0,31000,0.0,1.0,0.0
3830,2546819,Alenquer,houses,108.0,60000,0.0,1.0,0.0
3831,2546825,Alenquer,houses,51.0,20000,0.0,1.0,0.0
3832,2546830,Alenquer,houses,237.0,37000,0.0,1.0,0.0
3833,2546837,Alenquer,houses,100.0,80000,0.0,1.0,0.0
3834,2546853,Alenquer,houses,121.0,7000,0.0,1.0,0.0
3835,2546863,Alenquer,houses,103.0,17500,0.0,1.0,0.0
3836,2557327,Golden Mile,apartments,163.0,640000,0.0,1.0,0.0
3837,2635910,Nagüeles,houses,190.0,330000,0.0,1.0,0.0
3838,2640834,Nagüeles,houses,190.0,330000,0.0,1.0,0.0
3839,2641684,Quinta da Marinha,houses,250.0,1490000,0.0,0.0,1.0
3840,2642935,Alenquer,houses,210.0,190000,0.0,0.0,1.0
3841,2642936,Alenquer,houses,216.0,169900,0.0,1.0,0.0
3842,2643240,Nagüeles,apartments,123.0,370000,0.0,0.0,1.0
3843,2643259,Nagüeles,houses,200.0,415000,0.0,1.0,0.0
3844,2644246,Quinta da Marinha,houses,192.0,1295000,1.0,0.0,0.0
