,id,location name,type,title,features,pool,sea view,garage
12,131058,Golden Mile,houses,Villa in Luxurious Gated Community Marbella Golden Mile,"Elevator, Mountain view, Swimming pool, Air conditioning, Garden, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
13,131259,Golden Mile,apartments,Beachfront Penthouse Sea Views Las Cañas Marbella Golden Mile,"Security system, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
14,131274,Nagüeles,apartments,Duplex penthouse in Nagüeles with panoramic views,"Security system, Terrace, Mountain view, Air conditioning, Swimming pool, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
15,131297,Golden Mile,houses,Opportunity to Buy Beachfront Villa under 1 Million on the Golden Mile,"Fireplace, Terrace, Swimming pool, Garden, Balcony, Built-in kitchen",1.0,0.0,0.0
16,131403,Golden Mile,apartments,Beautiful Penthouse in the heart of the Marbella's Golden Mile at a good price,"Fireplace, Elevator, Terrace, Alarm system, Swimming pool, Air conditioning, Guest toilet, Built-in kitchen",1.0,0.0,0.0
17,131417,Nagüeles,houses,Contemporary Villa in Nagüeles,"Fireplace, Alarm system, Mountain view, Air conditioning, Guest toilet, Built-in kitchen",0.0,0.0,0.0
18,131512,Nagüeles,houses,Beautiful Villa for sale in Nagüeles Marbella,"Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Garden, Balcony, Built-in kitchen",1.0,0.0,0.0
19,131589,Nagüeles,houses,Beautifully Presented Corner Townhouse in el Tomillar de Nagüeles,"Terrace, Mountain view, Jacuzzi, Swimming pool, Air conditioning, Basement, Patio, Attic, Garden, Balcony, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
20,131650,Nagüeles,houses,Great opportunity new townhouse in a top area of Nagüeles,"Fireplace, Terrace, Accessible for wheelchairs, Mountain view, Swimming pool, Air conditioning, Basement, Patio, Lake view, Guest toilet, Garden, Balcony, Built-in kitchen",1.0,0.0,0.0
21,131694,Golden Mile,apartments,Exceptional beachfront apartment opportunity in Port Oasis Golden Mile,"Terrace, Swimming pool, Air conditioning, Built-in kitchen, Senior oriented",1.0,0.0,0.0
22,131703,Nagüeles,apartments,Beautiful corner Apartment with private entrance in Nagüeles,"Fireplace, Terrace, Swimming pool, Garden",1.0,0.0,0.0
23,131765,Nagüeles,houses,Townhouse at the best price in Nagüeles,"Fireplace, Swimming pool, Air conditioning, Garden",1.0,0.0,0.0
24,131820,Nagüeles,houses,Charming Townhouse in Nagüeles,"Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
25,131878,Nagüeles,apartments,Bright apartment with private garden in Nagüeles,"Fireplace, Elevator, Terrace, Alarm system, Swimming pool, Air conditioning, Garden, Built-in kitchen",1.0,0.0,0.0
26,131958,Golden Mile,houses,Modern villa frontline beach - Golden Mile,"Fireplace, Terrace, Alarm system, Swimming pool, Air conditioning, Guest toilet, Waterfront, Garden, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
27,131977,Golden Mile,houses,Magnificent Villa - Golden Mile,"Fireplace, Alarm system, Guest apartment, Mountain view, Jacuzzi, Swimming pool, Air conditioning, Sauna, Garden, Balcony, Built-in kitchen",1.0,0.0,0.0
28,132013,Nagüeles,houses,Charming Villa in Nagüeles,"Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Built-in kitchen",1.0,0.0,0.0
29,132037,Golden Mile,houses,Small beachside villa in Oasis Club on the Golden Mile,"Fireplace, Terrace, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
30,132041,Golden Mile,houses,Amazing beachside villa on the Golden Mile,"Fireplace, Alarm system, Accessible for wheelchairs, Guest apartment, Swimming pool, Air conditioning, Basement, Guest toilet, Sea/lake view, Built-in kitchen",1.0,1.0,0.0
31,132049,Golden Mile,houses,Villa close to beach on the Golden Mile - Prices for long term or short term on request,"Fireplace, Guest apartment, Jacuzzi, Basement, Patio, Built-in kitchen, Sea/lake view, Terrace, Alarm system, Mountain view, Swimming pool, Air conditioning, Garden, Balcony",1.0,1.0,0.0
